unix,date,symbol,open,high,low,close,Volume BTC,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1750896000000,2025-06-26 00:00:00,BTC/USDD,107800,108000,107499,107749,14.56,0.000135,14.56,0.000135,4,107896.31
1750809600000,2025-06-25 00:00:00,BTC/USDD,106200,107800,105125,107800,105.93,0.00099,102.88,0.000961,15,107012.44
1750723200000,2025-06-24 00:00:00,BTC/USDD,105249,106000,105001,106000,24.43,0.000231,23.06,0.000218,6,105776.45
1750636800000,2025-06-23 00:00:00,BTC/USDD,100999,105600,100999,105600,184.87,0.001782,184.87,0.001782,33,103760.66
1750550400000,2025-06-22 00:00:00,BTC/USDD,102249,102999,99200,100499,10367.89,0.103171,1063.02,0.010577,42,100492.46
1750464000000,2025-06-21 00:00:00,BTC/USDD,103749.99,103750,101000,101999,372.16,0.00361,244.83,0.00236,24,103100.26
1750377600000,2025-06-20 00:00:00,BTC/USDD,106200,106200,102800,103499,130.08,0.001261,11.12,0.000105,8,103170.12
1750291200000,2025-06-19 00:00:00,BTC/USDD,104001.01,104001.01,104001,104001,74.15,0.000713,0,0,2,104001
1750204800000,2025-06-18 00:00:00,BTC/USDD,105183.69,105199,103501,104749,136.35,0.001312,20.18,0.000193,18,103931.75
1750118400000,2025-06-17 00:00:00,BTC/USDD,105600,105600,103200,104999,158.39,0.001518,3.14,0.00003,23,104349.48
1750032000000,2025-06-16 00:00:00,BTC/USDD,105749,108600,104501,104501,150.21,0.0014,147.28,0.001372,38,107300.58
1749945600000,2025-06-15 00:00:00,BTC/USDD,105299,105599,104501,104501,185.47,0.001767,108.04,0.001026,5,104969.66
1749859200000,2025-06-14 00:00:00,BTC/USDD,104751.01,104799,104425,104799,408.4,0.003906,1.04,0.00001,11,104557.31
1749772800000,2025-06-13 00:00:00,BTC/USDD,105200.01,106000,102200.01,106000,2449.69,0.023521,224.37,0.002178,71,104155.94
1749686400000,2025-06-12 00:00:00,BTC/USDD,107001,108499,105400,105400,1951.41,0.018201,668.45,0.006191,90,107220.84
1749600000000,2025-06-11 00:00:00,BTC/USDD,109251.03,109251.03,108001.01,108001.01,394.9,0.003632,6.26,0.000058,10,108731.43
1749513600000,2025-06-10 00:00:00,BTC/USDD,107001.01,109800,107001.01,109800,38570.72,0.351562,35357.4,0.32217,49,109712.61
1749427200000,2025-06-09 00:00:00,BTC/USDD,105599,109750.99,105499,109750.99,12453.03,0.11438,12176.77,0.111835,154,108875.93
1749340800000,2025-06-08 00:00:00,BTC/USDD,105201.01,106198.97,105001.01,105499,443.59,0.004198,299.77,0.00283,49,105669.69
1749254400000,2025-06-07 00:00:00,BTC/USDD,104249,105595.05,104001.01,105593.22,188.91,0.001795,53.71,0.000511,39,105245.46
1749168000000,2025-06-06 00:00:00,BTC/USDD,101492.89,104999,101492.89,104001,7492.15,0.072038,1190.89,0.011451,119,104002.88
1749081600000,2025-06-05 00:00:00,BTC/USDD,104501,105499,100400,101249,322.36,0.003181,133.83,0.001325,43,101352.7
1748995200000,2025-06-04 00:00:00,BTC/USDD,105599,105599,104301,104301,2.62,0.000025,1.58,0.000015,2,105083.64
1748908800000,2025-06-03 00:00:00,BTC/USDD,106200,106600,106200,106600,17.33,0.000163,17.33,0.000163,6,106341.23
1748822400000,2025-06-02 00:00:00,BTC/USDD,105237.47,105248.97,103501,103751.01,1200.73,0.011514,2.1,0.00002,14,104285.99
1748736000000,2025-06-01 00:00:00,BTC/USDD,104399,105249,102601.01,105249,925.24,0.008848,893.68,0.008545,42,104571.37
